category,screenname,text
Information,CitigroupBRK,15 Reasons Bank of America Is a Buy Right Now: [at Motley Fool] - Over a dozen reasons the big... http://t.co/n8DjLxp666 #Citigroup #BRK
Information,CitigroupBRK,Dubai lender ENBD eyes bond sale to repay government funds: sources:  http://t.co/nix9BEiXmN #Citigroup #BRK
Action,CitigroupBRK,Is Citi safer than JPMorgan? And other stress-test questions:  http://t.co/5i5hYbzVmL #Citigroup #BRK
Information,CitigroupBRK,Analysis: Is Citi safer than JPMorgan? And ...: The newest stress tests for U.S. banks produce... http://t.co/sAr7TXSW6k #Citigroup #BRK
Information,CitigroupBRK,Citigroup's Capital XV Trust Preferred Securities Ex-Dividend Reminder - 3/12/13:  http://t.co/MmG8CLDue5 #Citigroup #BRK
Information,CitigroupBRK,UPDATE 1-Denizbank in exclusive talks on Citi's Turkish unit-sources:  http://t.co/Z4FO8b1RzZ #Citigroup #BRK
Information,CitigroupBRK,Major U.S. banks pass Fed's health test:  http://t.co/NMVzFlLhpi #Citigroup #BRK
Information,CitigroupBRK,Citi Plays It Safe After Last Year's Embarrassing Fed Rejection:  http://t.co/Pn1PDKfhu2 #Citigroup #BRK
Information,CitigroupBRK,Citigroup above Fed standard in stress test:  http://t.co/Q2rKnRudzE #Citigroup #BRK
Information,CitigroupBRK,"Exclusive: Hedge fund Portman Square scales back, CEO steps down:  http://t.co/L8UiwCj5oh #Citigroup #BRK"
Information,CitigroupBRK,"Exclusive: Hedge fund Portman Square scales back, CEO steps down - sources: The chief executiv... http://t.co/IKvC78LjrG #Citigroup #BRK"
Information,CitigroupBRK,Texas Banks in Better Position Than Most U.S. Community Banks: Strong Texas Economy Never Fell... http://t.co/kw4VW8Ena7 #Citigroup #BRK
Information,CitigroupBRK,"Exclusive: Hedge fund Portman Square scales back, CEO steps down - sources:  http://t.co/652RkFJ7kQ #Citigroup #BRK"
Information,CitigroupBRK,"Exclusive - Hedge fund Portman Square scales back, CEO steps down: sources:  http://t.co/cE0BJrUSBc #Citigroup #BRK"
Information,CitigroupBRK,Will Citigroup Return to Its Former Glory?: Binu is a member of The Motley Fool Blog Network -... http://t.co/nWEXGbkeAW #Citigroup #BRK
Information,CitigroupBRK,Citi on right strategic path â€” Corbat:  http://t.co/WzJy9mRTg3 #Citigroup #BRK
Information,CitigroupBRK,"Banks, traders wary of two-step stress test:  http://t.co/BeZ8Oh86V9 #Citigroup #BRK"
Information,CitigroupBRK,Excess Capital Encourages M&amp A Activity with More Buyers than Sellers  Smaller Banks More Likel... http://t.co/iF4mbIGH0Z #Citigroup #BRK
Information,CitigroupBRK,Citi's strategy remains the right one: Corbat:  http://t.co/pCda2ioJua #Citigroup #BRK
Information,CitigroupBRK,Citigroup agrees to buy back securities from Hawaii ahead of schedule: Citigroup Inc. has agre... http://t.co/waGRsIZLE2 #Citigroup #BRK
Information,CitigroupBRK,Citigroup agrees to buy back securities from Hawaii ahead of schedule:  http://t.co/Ftmb6b0zbD #Citigroup #BRK
Information,CitigroupBRK,"Topaz Exchange, EU Pension Trades, Borg: Compliance:  http://t.co/FdjGuyyXnv #Citigroup #BRK"
Information,CitigroupBRK,[video] Should Government Cap Bankers' Bonuses?:  http://t.co/gHvUPfXl1Q #Citigroup #BRK
Information,CitigroupBRK,Securitization Lobby in Disarray After Most Directors Quit: The American Securitization Forum ... http://t.co/IaEfqHyhcq #Citigroup #BRK
Information,CitigroupBRK,Exclusive - Goldman eyes Volcker workaround for buyouts:  http://t.co/Wd9tMGEdwX #Citigroup #BRK
Information,CitigroupBRK,Exclusive: Goldman eyes Volcker workaround for buyouts:  http://t.co/E8dLpRQIJw #Citigroup #BRK
Information,CitigroupBRK,Securitization Lobby in Disarray After Most Directors Quit:  http://t.co/GWhvWldHZ2 #Citigroup #BRK
Information,CitigroupBRK,"Goldman, Citi Warn Shareholders on Cybersecurity:  http://t.co/o7BIHHLhlA #Citigroup #BRK"
Information,CitigroupBRK,The World's Richest Billionaire Hedge Fund Managers And Traders:  http://t.co/LRQp8l5j69 #Citigroup #BRK
Information,CitigroupBRK,The GOP warms to marriage equality: Only one Republican voted for the same-sex marriage bill t... http://t.co/FQZ5H17JVA #Citigroup #BRK
Information,CitigroupBRK,Jack Lew and Citigroup: How the Corrupt Rich Get Richer with Cronyism: The rest of us suffered... http://t.co/QEGIO3M9JL #Citigroup #BRK
Information,CitigroupBRK,Bertelsmann to Buy Full Ownership of BMG Rights From KKR:  http://t.co/Cegd2a7VtW #Citigroup #BRK
Information,CitigroupBRK,"Citigroup and Blackstone's Capital Requirement Workaround: [at CNBC] - A year ago, Citi bought... http://t.co/b3A431eGxw #Citigroup #BRK"
Information,CitigroupBRK,Fed Governor Raskin Says Bank Reputations Harmed by Bailouts:  http://t.co/laNsGncMMp #Citigroup #BRK
Information,CitigroupBRK,"Treasury Pick Tries to Cast His History as Right for the Job: Jacob Lew, who faces a Senate pa... http://t.co/KXfFcgT2vX #Citigroup #BRK"
Information,CitigroupBRK,"Final Trade: Your First Move for Thursday, Feb. 28:  http://t.co/mtO7KdASXt #Citigroup #BRK"
Information,CitigroupBRK,1 Metric Bank of America Investors Can Rightly Celebrate:  http://t.co/m0cmBO2mNs #Citigroup #BRK
Information,CitigroupBRK,JPMorgan's Projections Underline Just How Cheap the Stock Is:  http://t.co/tSNftFlxKb #Citigroup #BRK
Information,CitigroupBRK,Boarding Taylor Morrison's Maiden Flight: Arturo is a member of The Motley Fool Blog Network -... http://t.co/YUJqSzja4Q #Citigroup #BRK
Information,CitigroupBRK,The 40 Highest-Earning Hedge Fund Managers And Traders:  http://t.co/YEfNKtjxE6 #Citigroup #BRK
Information,CitigroupBRK,Exclusive - Goldman to begin fresh round of job cuts: sources:  http://t.co/uEb2KLLPXs #Citigroup #BRK
Information,CitigroupBRK,Exclusive - Goldman to begin fresh round of job cuts: sources:  http://t.co/TOgShNV7co #Citigroup #BRK
Information,CitigroupBRK,Exclusive: Goldman to begin fresh round of job cuts:  http://t.co/H29QNcWOft #Citigroup #BRK
Information,CitigroupBRK,Dynasty adds adviser team working with pro athletes:  http://t.co/4cbmG9xbhK #Citigroup #BRK
Information,CitigroupBRK,Dynasty adds adviser team working with pro athletes:  http://t.co/f1mojTbXBl #Citigroup #BRK
Information,CitigroupBRK,Exclusive: Goldman to begin fresh round of job cuts - sources:  http://t.co/abTvz6kzYt #Citigroup #BRK
Information,CitigroupBRK,Exclusive - Goldman to begin fresh round of job cuts : sources:  http://t.co/NCsn80gkKZ #Citigroup #BRK
Information,CitigroupBRK,"Citigroup: Optimism Everywhere, Are They Right?:  http://t.co/1EEqfeBye6 #Citigroup #BRK"
Information,CitigroupBRK,Banks Looking for 'Right Thing' on CEO Pay: Krawcheck: Succession Planning for Business Owners... http://t.co/TZGPWad2YK #Citigroup #BRK
Information,CitigroupBRK,Citigroup Awards Corbat $11.5M Compensation Deal:  http://t.co/H2JXclaCVB #Citigroup #BRK
Information,CitigroupBRK,Edwards Lifesciences to Present at the Citigroup and RBC 2013 Global Healthcare Conferences: M... http://t.co/FXDi2SAsml #Citigroup #BRK
Information,CitigroupBRK,"Emeli Sande, Mumford &amp  Sons Lead Winners at Brit Awards:  http://t.co/NG1VZYvgsf #Citigroup #BRK"
Information,CitigroupBRK,Limited Mortgage Finance Role for U.S. Government Gains Support:  http://t.co/drV92iu2 #Citigroup #BRK
Information,CitigroupBRK,"Whole Foods, Citigroup CEOs set for talks on campus: Two sometimes-controversial business giants... http://t.co/dZTh6YgH #Citigroup #BRK"
Information,CitigroupBRK,"Dubai utility DEWA eyes $1 bln sukuk to repay debt, fund projects:  http://t.co/EgAUFqai #Citigroup #BRK"
Information,CitigroupBRK,Failsafe failure: Aforeclosure review system that failed to compensate mistreated borrowers has ... http://t.co/9PPP24Z1 #Citigroup #BRK
Information,CitigroupBRK,"Gilt Groupe's Kevin Ryan: What Works, And Doesn't Work, in Flash Sales: The online retail pionee... http://t.co/DScHqikn #Citigroup #BRK"
Information,CitigroupBRK,US investment banks embrace riskier block trades:  http://t.co/WCiojMyF #Citigroup #BRK
Information,CitigroupBRK,US investment banks embrace riskier block trades:  http://t.co/3fqg94ye #Citigroup #BRK
Information,CitigroupBRK,Tracking Bruce Berkowitz's Fairholme Portfolio - Q4 2012 Update:  http://t.co/YwrTl466 #Citigroup #BRK
Action,CitigroupBRK,[video] Opinion: Are Too Big to Fail Banks Really Safe?:  http://t.co/7XW14TVY #Citigroup #BRK
Information,CitigroupBRK,"Citigroup Lost $15 Million With UBS's - Crap' CDO Blessed by S&amp P: In just six months, Standard &amp ... http://t.co/yktZNvZg #Citigroup #BRK"
Information,CitigroupBRK,This Is What Will Boost Your Bank Stock Right Now:  http://t.co/hu9mDNIb #Citigroup #BRK
Information,CitigroupBRK,"Saba Said to Hire Citigroup Trader Roberts, RBC's Kazarian: Gabriel Roberts, who led global cred... http://t.co/4K4O8gM6 #Citigroup #BRK"
Information,CitigroupBRK,Ward Off Big Government With Shareholder Activism: Analyst:  http://t.co/1PT5i8Hg #Citigroup #BRK
Information,CitigroupBRK,"Saba Said to Hire Citigroup Trader Roberts, RBCâ€™s Kazarian:  http://t.co/GWdk8gEI #Citigroup #BRK"
Information,CitigroupBRK,[video] Traders Highly Selective Amid Financial Sector Momentum:  http://t.co/MryXrz5m #Citigroup #BRK
Information,CitigroupBRK,"Citigroup Capital VII Capital Securities Yield Pushes Past 7%: In trading on Tuesday, shares of ... http://t.co/6IgLufif #Citigroup #BRK"
Information,CitigroupBRK,Citigroup Capital VII Capital Securities Yield Pushes Past 7%:  http://t.co/d5LnxD7z #Citigroup #BRK
Information,C_PR,Citigroup Announces Agreement to Resolve Certain Private-Label Securitization Repurchase Claims http://t.co/zH2e2gGbFX
Information,C_PR,Citigroup Announces $2 Billion Redemption of Trust Preferred Securities http://t.co/KRoICb6MZV
Information,C_PR,Citi Launches Advertising Campaign for Sponsorship of U.S. Olympic and Paralympic Teams Ahead of the Sochi Olympic... http://t.co/Q9opBKurzj
Information,C_PR,Sanergy is Named Global Winner at 2013 FT/Citi Ingenuity Awards http://t.co/7v9BD2ihKr
Information,C_PR,Citi Responds to Appeal for Communities Devastated by Typhoon Yolanda http://t.co/bLSJyvGkOH
Information,C_PR,Citi Leads Global Diversified Financials Sector in 2013/2014 Dow Jones Sustainability Index http://t.co/bSt4oroNT3
Information,C_PR,Citigroup Announces $369 Million Redemption of Citigroup Capital X Trust Preferred Securities http://t.co/SRWfc6uwfQ
Information,C_PR,Financial Times and Citi Announce Judging Panel for the 2013 FT/Citi Ingenuity Awards http://t.co/cb8DmKn6Mc
Information,C_PR,"66,000 Citi Volunteers Mark CompanyÃ¢??s Annual Global Community Day with Service Activities in 95 Countries http://t.co/yCdOUzjaBP"
Information,C_PR,Citigroup Announces $954 Million Redemption of Citigroup Capital XVI Trust Preferred Securities http://t.co/7QzWOxmvF3
Information,C_PR,New Citi-Commissioned EIU Report Projects Competitiveness of 120 of the WorldÃ¢??s Major Cities in 2025 http://t.co/6735K8wUmB
Information,C_PR,Citigroup Announces $3 Billion Redemption of Trust Preferred Securities http://t.co/TCoTLugU0y
Information,C_PR,Global Association of Risk Professionals Presents 2012 Risk Manager of the Year Award to CitiÃ¢??s Brian Leach at 1... http://t.co/FE8tBWl3Bq
Information,C_PR,"Citi Announces Support for Vital Voices, Women's World Banking as Part of Effort to Boost Economic Empowerment and... http://t.co/Sl3fWbpkZR"
Information,C_PR,Citi Announces Aetna to Be the Charter Healthcare Benefits Company for Comprehensive Digital Health Payment Platform http://t.co/Uhx8I386Gs
Information,C_PR,New Cities Foundation Expands Membership Network into Financial Sector http://t.co/h2YCJ67I10
Information,C_PR,Financial Times and Citi Announce Global Call for Submissions for 2013 FT/Citi Ingenuity Awards http://t.co/tMJYGZaj
Information,C_PR,Citigroup Successfully Completes Sale of 2.71% Interest in Shanghai Pudong Development Bank http://t.co/OQCn5rMG
Information,C_PR,Citi Team USA Flag Tour Stops in Jacksonville to Celebrate Sponsorship of 2012 U.S. Olympic & Paralympic Teams http://t.co/nMQI5Ngx
Information,C_PR,Citi and The Financial Times Launch Global Ingenuity Awards to Recognize Emerging Leaders Transforming Cities for ... http://t.co/ldO4Rcwi
Information,C_PR,Citi Wins Global Banking Innovation Award from BAI Ã¢?? Finacle http://t.co/5Yndp5mf
Information,C_PR,Citi Team USA Flag Tour Stops in Tucson to Celebrate Sponsorship of 2012 U.S. Olympic & Paralympic Teams http://t.co/cINSbZoR
Information,C_PR,Citi Team USA Flag Tour Stops in Irving to Celebrate Sponsorship of 2012 U.S. Olympic & Paralympic Teams http://t.co/p1IdeN9i
Information,C_PR,Citi Kicks Off 'Citi Team USA Flag Tour' in Sioux Falls to Celebrate Sponsorship of 2012 U.S. Olympic & Paralympic ... http://t.co/X6rhmnvB
Information,C_PR,Citi Celebrates Sponsorship of 2012 U.S. Olympic & Paralympic Teams With Flag-Raising Event to Mark  Year-Out  Mile... http://citi.us/q8gtGU
Information,C_PR,Citi Engages with Suppliers to Drive Sustainability Gains http://citi.us/kVazam
Information,C_PR,Statement by Citi Chairman Richard D. Parsons on Retention Award to CEO Vikram S. Pandit http://citi.us/iSuFMA
Information,C_PR,"Vikram Pandit, CEO of Citigroup, Honored with UJA-Federation of New York's Banking and Finance Award http://citi.us/ivdJOK"
Information,C_PR,Citigroup Announces Appointment of Candida Wolff as Executive Vice President for Global Government Affairs http://citi.us/gp104x
Information,C_PR,Citi Named Official Sponsor of 2012 U.S. Olympic & Paralympic Teams http://citi.us/fTmOi9
Information,C_PR,Citigroup Inc. Extends the Expiration Time of the Consent Solicitation for the Holders of the 6.00% Capital Securit... http://citi.us/i7Bicw
Information,C_PR,Citigroup Inc. Announces Consent Solicitation For the Holders of the 6.00% Capital Securities (TRUPSÂ®) of Citigrou... http://citi.us/hjCkXw
Information,C_PR,Citi CEO Vikram Pandit Honored by New York Police & Fire Widows' & Children's Benefit Fund at 25th Annual Benefit Gala http://citi.us/9hMAGX
Information,C_PR,Citi CEO Vikram Pandit Named 2010 Global Business Leader of the Year by NDTV Profit Business Leadership Awards http://bit.ly/bEotRC
Information,C_PR,"Citi Partners with Soros Economic Development Fund to Help Create 1,400 New Jobs in Haiti http://bit.ly/cFXGEh"
Information,C_PR,Citi Community Capital Launches $100 Million New York Affordable Housing Preservation Fund with L+M Development Part... http://bit.ly/c9ixIx
Information,C_PR,Citi Wins 13 Euromoney Awards for Excellence http://bit.ly/a9JQrz
Information,C_PR,Citi Announces $200 Million Fund to Spur Small Business Lending in Low Income U.S. Communities http://bit.ly/b7PB5K
Information,C_PR,"Citigroup Inc. Announces Appointment of Edward Skyler As Executive Vice President, Global Public Affairs http://bit.ly/brva2z"
Information,C_PR,"Citi Celebrates Annual Global Community Day as 70,000 Volunteers Mobilize to Serve Nearly 480 Cities Around the World http://t.co/QRZjNYuaxy"
Information,DanoneGroup,"â€œThe division's Q3 sales will be down, but despite this, our Group is on track to deliver organic growth of around 5% this Q3 , said TÃ©risse"
Information,DanoneGroup," We are deploying action plans to restore sales in affected markets , said P.A.TÃ©risse, Danone's Chief Financial Officer"
Information,DanoneGroup,Danone's food #safety management system is among the most effective in the world and includes rigorous testing of all of its products
Information,DanoneGroup,#NewZealand investigation concludes that all ingredients used by Danone are in full compliance with the highest standards of quality
Information,DanoneGroup,#Danone welcomes the findings of the #NewZealand authorities' investigation of #Fonterra
Information,DanoneGroup,The acquisition of #YoCrunch will advance #Danoneâ€™s ambition to further develop the yogurt consumption in US
Information,DanoneGroup,#Danone will benefit from the toppingsâ€™ expertise of #YoCrunch
Information,DanoneGroup,"In Brazil, Danone Ecosystem supports Caring for the Caregivers to train professionals to take care of elderly in need http://t.co/dGSASafcKJ"
Information,DanoneGroup," In emerging markets &amp  N. America we are continuing to build our brands and organizations, while laying the groundwork for future growth "
Information,DanoneGroup,"Danone's agreement with @Starbucks will advance our ambition to expand yogurt consumption in the US, supporting our 1 yogurt a day strategy"
Information,DanoneGroup,"Danone &amp  @Starbucks announce strategic agreement to create an exclusive line of Evolution Fresh, Inspired by Dannon-branded products"
Information,DanoneGroup,Today Danone Medical Nutrition #Brazil has 35% market share  the acquisition of Nutrimed will strengthen it &amp  add new manufacturing capacity
Information,DanoneGroup,"Danone launches http://t.co/uOrTSQRVI9 , a surprising and fun platform to discover everything about #yogurt: nutritional benefits, history.."
Information,DanoneGroup,#ActionForWomensHealth
Information,DanoneGroup,Our BIO (#Activia) brand will enable the new joint-venture to further build the active #health #yogurt segment in #China
Information,DanoneGroup,#COFCO is the largest state-owned food company in #China  #Mengniuâ€™s liquid milk products rank nÂ°1 in sales among similar products in #China
Information,DanoneGroup,Our #dairy brands will be backed by #COFCO's expertise in the food industry &amp  by #Mengniu's nationwide leading platform in #China's dairy
Information,DanoneGroup,"#COFCO, #Mengniu and Danone join forces to accelerate the development of fresh #dairy products in #China"
Information,DanoneGroup,"&gt 6% of #US children under 3 suffer from food allergies: in 2012, the #US Medical division expanded its #Neocate range to allergy treatments"
Information,DanoneGroup,#IMF represents around 80% of Danone Baby Nutrition's sales worldwide  solid #baby food sales are mainly located in #Europe
Information,DanoneGroup,#HappyFamily has a wide range of #baby products combining convenience with clearly defined nutritional benefits http://t.co/g4sLmxvVnN
Information,DanoneGroup,"#US #baby food is a $1.5 billion category which is experiencing growth of +4.2% in value, esp. driven by the organic (20% of the sales)"
Information,DanoneGroup,#HappyFamily holds over 4% of the #US #baby food market with gross sales of more than $60 million. Strong growth is expected in 2013.
Information,DanoneGroup,"Danone acquires #HappyFamily, one of the fastest-growing premium organic #baby food companies in the #US"
Information,DanoneGroup,"Hi @alvareteOC In the #Netherlands, you have #Danoontje that is suitable for children &gt 1 yrs old. #DanoontjeStart unfortunately is no longer"
Information,DanoneGroup,"Danone is excited at the prospect of joining forces with Sirma, as we believe we will benefit from the 2 companies' strong complementarities"
,,
,,
,,
,,
,,
,,
Information,DanoneGroup,"The 1st Global Summitt on the Health Effects of #Yogurt, initiating the new collaboration of the ASN &amp  the DanoneInstitute, is due Wednesday"
Information,DanoneGroup," Our teams are fully mobilized, working hard to innovate and update our product ranges , says F. Riboud, Danone's CEO #Q12013"
Information,DanoneGroup,[BlogPost]: An interview of JM Severino: â€œCorporate companies have a crucial role to play in developing countriesâ€ù http://t.co/00vPJHwTDB
Information,DanoneGroup,"[Blogpost]: NutriGo, Danone's project to curb malnutrition among Chinese babies in rural areas http://t.co/AC5osuehc1  cc @danonecommunity"
Information,DanoneGroup,RT @atelierstat: Brazilian #Internet users spend 36% of their time on the internet on#SocialNetworks http://t.co/WLnHlHES5T  cc @comScore
Information,DanoneGroup,"2 years after launching Danâ€™Cares, over 50,000 Danone employees now benefit from minimum health-care coverage #social_innovation"
Information,DanoneGroup," 2013 will be a year of transition for Danone, aimed at returning our activities as a whole to strong, profitable growth by 2014â€ù F.Riboud"
Dialogue,DanoneGroup,@sehatAQUA @DanCommunityID thanks for sharing and have a good day!
Information,DanoneGroup,[BlogPost]: The history of food conservation: http://t.co/aAzdroVL #infographic
Information,DanoneGroup,[Blog Post] Identifying and supporting intrapreneurs: http://t.co/RWMvYEoS #social_innovation cc @Ashoka
Information,DanoneGroup,Danone in Egypt: a lab for new ways to work in emerging markets http://t.co/96REe88a
Dialogue,DanoneGroup,@BCEAwards Thanks a lot for the mention
Information,DanoneGroup,Activia and Jamie Lee Curtis Team Up to Educate Americans on the Impact of Digestive Health on the Mind and Body http://t.co/XJrhyDd1
Information,DanoneGroup,Consumer concern and continuing media focus have moved ecology from being a fringe phenomenon right into the mainstream @Euromonitor #green
Information,DanoneGroup,How Danone has embedded sustainability into the business while expanding the leadership from the finance function http://t.co/ESTaTLwh #F4TF
Information,DanoneGroup,3/4 of Chinese middle class families expect their children to attain a postgraduate degree: http://t.co/4pVUx4IH
Information,DanoneGroup,Probiotics' Benefits: Not Just Digestive http://t.co/Fb2c8SGv via @WSJ #health
Information,DanoneGroup,Today is World Diabetes Day. WHO estimates that over 346 million people worldwide have diabetes http://t.co/MYxRnB8B #WDD via @UN #health
Information,DanoneGroup,"New hunger map by @FAOemergencies shows 870 million people don't get enough food to lead a normal, active life http://t.co/KgSVkke9"
,,
Information,DanoneGroup,Danone Baby Nutrition has been named overall winner at the European Supply Chain Excellence Awards in London: http://t.co/25NeLo2k
Information,DanoneGroup,More young Chinese are resigning from their jobs before securing a new one because they feel unhappy via @Euromonitor
,,
Information,DanoneGroup,to Pr.Gordon for his work on human microbiota and links with human health
Information,DanoneGroup,Danone plans to provide mimimum healthcare coverage for all group employees by 2013 with the program Dan'Cares #health
Information,DanoneGroup,Neocate partnerns with British Allergy Foundation to launch a site for parents of children with #cow's milk allergies http://t.co/DH4gTG59
Dialogue,DanoneGroup,"@morpheusweb Hello, just checked with customer service, they will contact you very soon to see what happened! Have a good day"
Information,DanoneGroup,Nearly half the world's higher education students are in the BRICs and the USA (source: Euromonitor)
Dialogue,DanoneGroup,Congratulations to the winners! RT @DownTo_Earth_ :The 2012 Dan Awards: rewarding the best bottom-up initiatives http://t.co/wP8C2OMx â€_
Information,DanoneGroup,"In Mexico, Bonafont invested in micro-plants to install production lines in remote areas at very low cost : http://t.co/gtwg7e0D #Innovation"
Information,DanoneGroup,Danone expanded its Baby Nutrition activities in 17 new countries since 2007: http://t.co/dbH74foM
Information,DanoneGroup,35 million Brazilians have climbed out of poverty over the last decade and 53% now belong to the middle class: http://t.co/yhwtmFpx
Information,DanoneGroup,The Dannon Company Awards Dannon Next Generation NutritionÂ® Grants Supporting Children's Nutrition &amp  Physical Activity: http://t.co/Wfdvued7
Information,DanoneGroup,#Danone has reduced the number of workplace accidents requiring sick leave by 5 since 2004 #people http://t.co/VygKqLbE
Dialogue,DanoneGroup,"@stephaniemoret hello, our scope is international. Right now our French subsidiary  Danone France  doesn't have one, but this might change"
Information,DanoneGroup,#FF Danone's world: @Danone_Be @danonejobs @Dannon @YogDanone @danonenationcup  @danonecommunity @DownTo_Earth_ @DanetteFR @evianwater
Information,DanoneGroup,45% of residents of elderly homes are malnourished http://t.co/Zfo1D6UW
Information,DanoneGroup," Value creation is the core of what we do every day. We believe it's the best long-term security for ensuring growth  E.Faber, #Danone's COO"
Information,DanoneGroup,60% of our employees live in an emerging country where healthcare may be poor or even nonexistent: http://t.co/A1tdrvDD #people #dancares
Information,DanoneGroup,"Maria Nowak :  In the field of social and solidarity-based economy, what matters for NGOs is escaping their isolation  http://t.co/1OgMfqdL"
Information,DanoneGroup,"Volvic creates the 1st Centre for Micro-entrepreneurship in France, in partnership with #ADIE: http://t.co/uyEN8nb2 #Ecosystem"
Information,DanoneGroup,#Danone Finance upcoming events available here: http://t.co/G3IT7zG0
Information,DanoneGroup,A danone.communities project is a social business that fits into #Danoneâ€™s mission and calls for coworking + innovation http://t.co/2eBfrwEp
Information,DanoneGroup,Keeping work meaningful - RT @HarvardBiz : What Makes Work Worth Doing? http://t.co/vLLszWgZ
Information,DanoneGroup,Recent studies indicate that 45% of residents of elderly homes are malnourished: http://t.co/AouKkLdt
Information,DanoneGroup,Elderly population (over 60) in France strongly increasing : estimate +56%  between 2005 and 2030 #newstakes #ecosystem http://t.co/AouKkLdt
Information,DanoneGroup,@Dannon awarded  Food Packagers of the year  : http://t.co/pqgSjFym #innovation
Information,DanoneGroup,"Itw of Cecile Renouard, researcher at  ESSEC's IRENE's Institute, evaluating #danone's project in Indonesia: http://t.co/9J9WR8J0"
Information,DanoneGroup,"20 years in the OECD, with income inequality having increased in 17 of the 22 OECD countries"
Information,DanoneGroup,#Food is a daily need for each one of us... http://t.co/K8azSSom
Information,DanoneGroup," Our model is based on great people, our regions, strong brands, our global reach and our health mission  - F.Riboud #danoneCEO"
Information,DanoneGroup," The Yoghurt culture company , #danone new fresh food concept opened in July 2012 in NYC http://t.co/5gjIDLcL"
Information,DanoneGroup,http://t.co/A3lvpZwL cc @danonecommunity
Information,DanoneGroup,Danone Ecosystem fund approved sales school project in Algeria for young people without a degree.Classes began in 2012 http://t.co/PfhOsKyk
Information,DanoneGroup,"Within the next five years, people over age 65 will outnumber children under 5 for the first time : http://t.co/j1tRRne9 #newstakes"
Information,DanoneGroup,Agricultural needs and water management: a tricky equation for the future: http://t.co/mJayGmyZ  #prospective
Information,DanoneGroup,"By completing takeover of Wockhardt, #danone marks its entry into India's baby foods and medical nutrition market: http://t.co/qK62foPF"
Information,DanoneGroup,Thks &amp  #FF back @marisa_guev @AgenceAngie @CatalystInc @ForbesWoman @EVEProgramme @KPMG_France @CreditAgricole @lorealparisfr @SNCF @orange
Information,DanoneGroup,Time spent on emails can be cut by 25%-30% by introducing social networking communications into a business (McKinsey &amp  Intl Data corp)
Information,DanoneGroup,Analysing the composition of intestinal #microbiota could improve understanding of diseases like #obesity: http://t.co/gZ9FGPe3 #danone
Information,DanoneGroup,"For the past 15 years, #Danone Mexico (@YogDanone) gave over 140 million pesos to support children with cancer :http://t.co/ZMVKDxu8 #CSR"
Information,DanoneGroup,RT @SustainBrands : Social Entrepreneurship: Still A Misunderstood Concept Among The Public #Business #SocEnt cc @danonecommunity
Dialogue,DanoneGroup,@futuratinow @FoodisPower @jacksonluke Thanks a lot!
Information,DanoneGroup,"According to @WorldBank report, elderly population in #Brazil will triple by 2050 http://t.co/ahEK0lJ9 #danone11 #datawall"
Information,DanoneGroup, Eat like a champ  #Danone's 6 weeks #nutrition program in the UK won  Big Tick  award from @BITC1  http://t.co/AIkECALb #social_innovation
Information,DanoneGroup,The  MICRUBS : 6 top-priority countries in #Danoneâ€™s development strategy: http://t.co/5ZZ3x5Ul #danone11 #NewMarkets
Dialogue,DanoneGroup,@dinidreaming @DanCommunityID - great initiative!
,,
Information,DanoneGroup,[#Interview] RT @DownTo_Earth_ : Maria Nowak: â€œ#Microcredit can be applied everywhereâ€ù http://t.co/4wZ1AEGM â€_ #socent #sustainability
Information,DanoneGroup,[#Infographic] â€œBringing health through food to as many people as possibleâ€ù: 2011 business lines results http://t.co/dbH74foM  #danone11
Information,DanoneGroup,@Banquemondiale sharing 10 years of experience in #carbon finance  http://t.co/o8rXiGsN cc @LivelihoodsEu @DownTo_Earth_
Information,DanoneGroup,RT @FTLiveTweets: Brazil-Africa Forum - http://t.co/epRYEogT - â€˜building new partnerships for the 21st centuryâ€™ #Johannesburg #development
Information,DanoneGroup,Emmanuel Faber's unconventional thoughts about #food security: http://t.co/Fs1Z1pVo #oldpost #prospective
Information,DanoneGroup,"RT @DownTo_Earth_ : In Ukraine, giving voice to the beneficiaries through an ethnographic study http://t.co/zmCQteGA #sustainability"
,,
Information,DanoneGroup,"A positive approach to #food: one conviction, one principle, one golden rule, one tool #Danone #danone11: http://t.co/0lUK3Otw"
Information,DanoneGroup,"Danâ€™Cares program to provide minimum healthcare coverage for #Danoneâ€™s 101,885 employees by 2013: http://t.co/TuJiZOCR #danone11 #grow"
Information,DanoneGroup,Danone #Waters reached its goal of raising awareness about #water benefits:  In #France 98% of the visitors found the animation instructive
Information,DanoneGroup,"Danone #Waters toured seaside towns in France for the 3rd yr this summer &amp  for the 1st time in Brazil &amp  Spain, to promote healthy #hydration"
Information,DanoneGroup,"Among children under 3, the most common food allergy is to cow's milk, with 2% of children thought to be severely affected #MedicalNutrition"
Information,DanoneGroup,LatAm would have to invest about 8.1% of its total GDP between 2012-2020 to catch up with infrastructure levels of the â€œAsian Tigersâ€ù
Information,DanoneGroup,"RT @FTLiveTweets : Sao Paulo accounts for 21% of #Brazil's population, and 32% of the country's GDP #FTCitiAwards #NewMarkets"
Information,DanoneGroup,@Dannon Company is committed to helping #Americans make better food choices and to eat #yogurt every day @OneYogurt #US
Information,DanoneGroup,"Facebook campaign converted 285,000 mouse clicks into 285,000 kilos of food for the Spanish Federation of Food Banks: http://t.co/2GDWXvBc"
